date,value
20131031,66
20131101,67
20131102,67
20131104,68
20131105,68
20131106,68
20131107,68
20131108,68
20131109,68
20131111,67
20131112,69
20131113,70
20131114,70
20131115,71
20131116,71
20131118,71
20131119,67
20131120,68
20131121,68
20131122,68
20131123,66
20131125,66
20131126,64
20131127,67
20131129,70
20131130,67
20131202,66
20131203,65
20131204,65
20131205,57
20131206,63
20131207,63
20131209,53
20131210,52
20131211,51
20131212,43
20131213,38
20131214,48
20131216,45
20131217,38
20131218,49
20131219,50
20131220,52
20131221,54
20131223,61
20131224,66
20131226,63
20131227,72
20131228,70
20131230,70
20131231,77
20140102,71
20140103,66
20140104,66
20140106,64
20140107,67
20140108,64
20140109,68
20140110,66
20140111,65
20140113,61
20140114,68
20140115,65
20140116,63
20140117,59
20140118,57
20140121,62
20140122,45
20140123,46
20140124,27
20140125,22
20140127,25
20140128,29
20140129,20
20140130,18
20140131,20
20140201,14
20140203,13
20140204,15
20140205,20
20140206,17
20140207,22
20140208,23
20140210,28
20140211,29
20140212,32
20140213,32
20140214,30
20140215,40
20140218,42
20140219,39
20140220,45
20140221,48
20140222,48
20140224,55
20140225,57
20140226,58
20140227,62
20140228,56
20140301,59
20140303,63
20140304,66
20140305,78
20140306,80
20140307,81
20140308,80
20140310,81
20140311,76
20140312,57
20140313,49
20140314,44
20140315,47
20140317,49
20140318,51
20140319,53
20140320,54
20140321,56
20140322,54
20140324,49
20140325,43
20140326,43
20140327,34
20140328,36
20140329,42
20140331,50
20140401,51
20140402,53
20140403,51
20140404,49
20140405,45
20140407,35
20140408,34
20140409,31
20140410,31
20140411,21
20140412,21
20140414,23
20140415,23
20140416,28
20140417,28
20140419,34
20140421,38
20140422,40
20140423,40
20140424,39
20140425,35
20140426,34
20140428,34
20140429,34
20140430,33
20140501,30
20140502,32
20140503,33
20140505,34
20140506,34
20140507,33
20140508,33
20140509,42
20140510,42
20140512,45
20140513,39
20140514,38
20140515,28
20140516,28
20140517,28
20140519,26
20140520,21
20140521,29
20140522,36
20140523,37
20140524,37
20140527,40
20140528,42
20140529,42
20140530,45
20140531,53
20140602,58
20140603,66
20140604,66
20140605,81
20140606,81
20140607,88
20140609,89
20140610,90
20140611,88
20140612,83
20140613,85
20140614,85
20140616,87
20140617,88
20140618,94
20140619,95
20140620,95
20140621,95
20140623,93
20140624,83
20140625,83
20140626,77
20140627,76
20140628,77
20140630,87
20140701,87
20140702,87
20140703,86
20140705,85
20140707,68
20140708,74
20140709,62
20140710,56
20140711,57
20140712,58
20140714,59
20140715,56
20140716,55
20140717,32
20140718,46
20140719,41
20140721,37
20140722,38
20140723,39
20140724,42
20140725,34
20140726,34
20140728,34
20140729,31
20140730,26
20140731,10
20140801,5
20140802,7
20140804,5
20140805,5
20140806,5
20140807,5
20140808,10
20140809,9
20140811,7
20140812,8
20140813,13
20140814,16
20140815,14
20140816,18
20140818,26
20140819,31
20140820,37
20140821,36
20140822,37
20140823,34
20140825,35
20140826,36
20140827,33
20140828,33
20140829,41
20140830,43
20140902,48
20140903,48
20140904,47
20140905,50
20140906,49
20140908,47
20140909,42
20140910,45
20140911,44
20140912,43
20140913,41
20140915,38
20140916,37
20140917,42
20140918,37
20140919,36
20140920,32
20140922,22
20140923,18
20140924,17
20140925,8
20140926,13
20140927,13
20140929,11
20140930,12
20141001,7
20141002,3
20141003,5
20141004,4
20141006,5
20141007,6
20141008,4
20141009,3
20141010,1
20141011,2
20141013,0
20141014,2
20141015,1
20141016,2
20141017,7
20141018,6
20141020,5
20141021,7
20141022,8
20141023,11
20141024,13
20141025,13
20141027,16
20141028,21
20141029,25
20141030,31
20141031,32
20141101,38
20141103,40
20141104,40
20141105,49
20141106,49
20141107,55
20141108,55
20141110,57
20141111,58
20141112,56
20141113,54
20141114,53
20141115,53
20141117,53
20141118,54
20141119,55
20141120,59
20141121,59
20141122,62
20141124,62
20141125,62
20141126,63
20141128,59
20141129,57
20141201,55
20141202,55
20141203,59
20141204,59
20141205,61
20141206,59
20141208,55
20141209,46
20141210,41
20141211,37
20141212,31
20141213,24
20141215,22
20141216,19
20141217,21
20141218,33
20141219,33
20141220,39
20141222,43
20141223,45
20141224,47
20141226,48
20141227,48
20141229,47
20141230,47
20141231,45
20150102,37
20150103,35
20150105,30
20150106,21
20150107,21
20150108,28
20150109,29
20150110,29
20150112,30
20150113,29
20150114,30
20150115,30
20150116,26
20150117,26
20150120,25
20150121,28
20150122,32
20150123,31
20150124,30
20150126,28
20150127,28
20150128,26
20150129,26
20150130,25
20150131,27
20150202,30
20150203,46
20150204,42
20150205,50
20150206,52
20150207,50
20150209,52
20150210,54
20150211,61
20150212,64
20150213,73
20150214,69
20150217,77
20150218,79
20150219,77
20150220,80
20150221,79
20150223,77
20150224,75
20150225,77
20150226,78
20150227,74
20150228,74
20150302,74
20150303,66
20150304,66
20150305,65
20150306,58
20150307,58
20150309,58
20150310,52
20150311,44
20150312,46
20150313,39
20150314,42
20150316,42
20150317,40
20150318,39
20150319,43
20150320,43
20150321,47
20150323,48
20150324,44
20150325,44
20150326,37
20150327,36
20150328,37
20150330,37
20150331,37
20150401,35
20150402,40
20150404,43
20150406,43
20150407,48
20150408,48
20150409,56
20150410,56
20150411,61
20150413,60
20150414,60
20150415,60
20150416,57
20150417,57
20150418,54
20150420,55
20150421,59
20150422,59
20150423,64
20150424,66
20150425,62
20150427,59
20150428,61
20150429,61
20150430,53
20150501,61
20150502,59
20150504,61
20150505,58
20150506,58
20150507,53
20150508,58
20150509,55
20150511,53
20150512,49
