date, value
20121217,11.9271
20121218,11.9938
20121219,11.96
20121220,12.0072
20121221,11.9684
20121224,11.9261
20121228,11.8028
20121231,11.9399
20130102,12.1475
20130103,12.2532
20130104,12.3513
20130107,12.2713
20130108,12.2618
20130109,12.3275
20130110,12.2696
20130111,12.1792
20130114,12.145
20130115,12.1848
20130116,12.1989
20130117,12.2064
20130118,12.2844
20130121,12.2752
20130122,12.3378
20130123,12.3381
20130124,12.2805
20130125,12.2697
20130128,12.261
20130129,12.3126
20130130,12.2202
20130131,12.1816
20130201,12.1703
20130204,12.1448
20130205,12.2199
20130206,12.24
20130207,12.321
20130208,12.4043
20130211,12.3637
20130212,12.3566
20130213,12.3871
20130214,12.4562
20130215,12.4074
20130218,12.4221
20130219,12.5173
20130220,12.4198
20130221,12.4002
20130222,12.5468
20130225,12.4003
20130226,12.4907
20130227,12.5782
20130228,12.6643
20130301,12.7205
20130304,12.7255
20130305,12.8477
20130306,12.8947
20130307,12.8392
20130308,12.9742
20130311,12.9967
20130312,12.9763
20130313,13.021
20130314,13.0842
20130315,13.0379
20130318,13.0244
20130319,13.058
20130320,13.0653
20130321,13.0215
20130322,13.0018
20130325,13.0656
20130326,13.1456
20130327,13.2018
20130328,13.1924
20130402,13.2021
20130403,13.104
20130404,13.0674
20130405,12.8711
20130408,12.9458
20130409,12.9648
20130410,13.1143
20130411,13.1678
20130412,13.1418
20130415,12.9282
20130416,12.9533
20130417,12.8774
20130418,12.7749
20130419,12.8542
20130422,12.9489
20130423,13.1178
20130424,13.2039
20130425,13.2712
20130426,13.2398
20130429,13.2651
20130430,13.2506
20130501,13.1568
20130502,13.3083
20130503,13.3801
20130507,13.5011
20130508,13.5205
20130509,13.5352
20130510,13.6643
20130513,13.6695
20130514,13.7545
20130515,13.9304
20130516,13.8462
20130517,13.9925
20130520,14.0099
20130521,14.0138
20130522,13.9407
20130523,13.7346
20130524,13.6993
20130527,13.6609
20130528,13.8191
20130529,13.6316
20130530,13.5644
20130531,13.4816
20130604,13.3813
20130605,13.1647
20130606,13.0934
20130607,13.2052
20130610,13.2573
20130611,13.0908
20130612,12.9823
20130613,13.0784
20130614,13.0352
20130617,13.1457
20130618,13.1552
20130619,13.0722
20130620,12.8394
20130621,12.8526
20130624,12.7121
20130625,12.838
20130626,13.0304
20130627,13.1258
20130628,13.1066
20130701,13.1691
20130702,13.1759
20130703,13.2006
20130704,13.3305
20130705,13.4203
20130708,13.4682
20130709,13.6523
20130710,13.6218
20130711,13.644
20130712,13.6454
20130715,13.6757
20130716,13.5783
20130717,13.6505
20130718,13.7234
20130719,13.695
20130722,13.7026
20130723,13.6693
20130724,13.6383
20130725,13.6332
20130726,13.5899
20130729,13.5351
20130730,13.551
20130731,13.5021
20130801,13.7011
20130802,13.7303
20130806,13.6517
20130807,13.5688
20130808,13.5779
20130809,13.6052
20130812,13.6388
20130813,13.7268
20130814,13.6995
20130815,13.5464
20130816,13.4698
20130819,13.3877
20130820,13.3054
20130821,13.2593
20130822,13.3637
20130823,13.4014
20130826,13.3945
20130827,13.1978
20130828,13.2129
20130829,13.3392
20130830,13.3028
20130902,13.3777
20130903,13.4541
20130904,13.5074
20130905,13.6001
20130906,13.6041
20130909,13.6287
20130910,13.7337
20130911,13.7579
20130912,13.7271
20130913,13.7847
20130916,13.8031
20130917,13.8131
20130918,13.9416
20130919,13.8441
20130920,13.7905
20130923,13.7603
20130924,13.7411
20130925,13.7103
20130926,13.7731
20130927,13.6968
20130930,13.6018
20131001,13.7005
20131002,13.6139
20131003,13.5088
20131004,13.578
20131007,13.5039
20131008,13.3641
20131009,13.4145
20131010,13.64
20131011,13.7001
20131014,13.7236
20131015,13.7671
20131016,13.8872
20131017,13.8549
20131018,13.9231
20131021,13.9568
20131022,13.9537
20131023,13.8667
20131024,13.9
20131025,13.9098
20131029,13.9894
20131030,13.9669
20131031,14.0689
20131101,14.1361
20131104,14.1644
20131105,14.1643
20131106,14.1871
20131107,14.1721
20131108,14.278
20131111,14.2566
20131112,14.2046
20131113,14.2705
20131114,14.3143
20131115,14.3746
20131118,14.333
20131119,14.2774
20131120,14.2992
20131121,14.3458
20131122,14.3395
20131125,14.3631
20131126,14.2906
20131127,14.3028
20131128,14.3122
20131129,14.2917
20131202,14.2914
20131203,14.1888
20131204,14.1478
20131205,13.9931
20131206,14.0859
20131209,14.0929
20131210,14.0104
20131211,13.8693
20131212,13.8092
20131213,13.8235
20131216,13.892
20131217,13.8681
20131218,14.0183
20131219,14.1561
20131220,14.2265
20131223,14.2833
20131224,14.3458
20131227,14.3588
20131230,14.3378
20131231,14.4171
20140102,14.4064
20140103,14.4615
20140106,14.388
20140107,14.483
20140108,14.5132
20140109,14.4957
20140110,14.4806
20140113,14.4154
20140114,14.4352
20140115,14.6073
20140116,14.5935
20140117,14.6231
20140120,14.6144
20140121,14.656
20140122,14.6554
20140123,14.4331
20140124,14.1466
20140127,14.0416
20140128,14.1076
20140129,14.0622
20140130,14.1799
20140131,14.1819
20140203,13.912
20140204,13.9028
20140205,13.9038
20140206,14.0166
20140207,14.1654
20140210,14.1791
20140211,14.3043
20140212,14.4303
20140213,14.3971
20140214,14.4372
20140217,14.4507
20140218,14.462
20140219,14.4145
20140220,14.4668
20140221,14.4668
20140224,14.5614
20140225,14.5636
20140226,14.5961
20140227,14.6148
20140228,14.5384
20140303,14.4059
20140304,14.6343
20140305,14.6509
20140306,14.6085
20140307,14.5434
20140310,14.4849
20140311,14.4611
20140312,14.3697
20140313,14.2278
20140314,14.1392
20140318,14.3623
20140319,14.3024
20140320,14.4015
20140321,14.3956
20140324,14.3306
20140325,14.4221
20140326,14.4033
20140327,14.4525
20140328,14.5155
20140331,14.5888
20140401,14.6623
20140402,14.725
20140403,14.7608
20140404,14.709
20140407,14.5089
20140408,14.4947
20140409,14.5652
20140410,14.3405
20140411,14.182
20140414,14.3107
20140415,14.3234
20140416,14.5002
20140417,14.5137
20140422,14.6615
20140423,14.6054
20140424,14.6329
20140425,14.525
20140428,14.5351
20140429,14.6492
20140430,14.6488
20140501,14.6723
20140502,14.6629
20140506,14.5483
20140507,14.5692
20140508,14.6588
20140509,14.7453
20140512,14.8514
20140513,14.9343
20140514,14.9099
20140515,14.7969
20140516,14.8243
20140519,14.8296
20140520,14.7878
20140521,14.8991
20140522,14.961
20140523,15.0387
20140526,15.0628
20140527,15.1446
20140528,15.1521
20140529,15.1964
20140530,15.1802
20140603,15.216
20140604,15.2343
20140605,15.3119
20140606,15.3649
20140609,15.4304
20140610,15.4779
20140611,15.4596
20140612,15.3891
20140613,15.4306
20140616,15.3806
20140617,15.4254
20140618,15.4757
20140619,15.5034
20140620,15.5591
20140623,15.5317
20140624,15.4513
20140625,15.4145
20140626,15.4597
20140627,15.4344
20140630,15.3993
20140701,15.5172
20140702,15.5632
20140703,15.6784
20140704,15.6965
20140707,15.6117
20140708,15.4757
20140709,15.4851
20140710,15.4274
20140711,15.4436
20140714,15.5095
20140715,15.527
20140716,15.6566
20140717,15.5304
20140718,15.6226
20140721,15.5723
20140722,15.7296
20140723,15.7648
20140724,15.7777
20140725,15.7475
20140728,15.7397
20140729,15.7371
20140730,15.7402
20140731,15.5046
20140801,15.3706
20140805,15.3717
20140806,15.3455
20140807,15.2762
20140808,15.2575
20140811,15.3889
20140812,15.4032
20140813,15.4681
20140814,15.5315
20140815,15.5162
20140818,15.6583
20140819,15.7816
20140820,15.8301
20140821,15.8891
20140822,15.8996
20140825,16.0249
20140826,16.055
20140827,16.0723
20140828,16.0486
20140829,16.0936
20140901,16.1334
20140902,16.1415
20140903,16.1704
20140904,16.3525
20140905,16.3817
20140908,16.336
20140909,16.2747
20140910,16.2979
20140911,16.2803
20140912,16.2137
20140915,16.1885
20140916,16.2369
20140917,16.242
